C3H6D3S9D8;C4C9H4H7CK
H3DAC7C4D10;H10C10HJC2C9
HQD8HACKC8;C5D3D6S10H8
H7CQCASJD10;S5C9H8H4D2
HAD8D6C7S5;H7D2SKDAD4
S2C3S6S8HK;H7CQD9S9SQ
CKC9CJC10S10;C6S8SKHAD5
D7H4C2D5HA;C8DQH10DAC6
CQC9SQD6D3;H5S4S10C4C3
S9CAC10D7D8;C9C4S5D3H9
C9D7D2S9C3;S3D8HQS4CJ
HKD8C2S8C5;H9CQHAD7C4
C6D5C3D6S9;S4D8H7DKD4
H3SKDKC5CK;S4HAS3CJD5
C6C5DKD2S4;H3S10S2DAC4
C8HJD10DQC5;D6DAHQS6D2
H6HKC4D2DK;S2D9D6C6C7
C3C10C5H3S4;S9S3D9C9HQ
S2C8C6SQS9;CKD5S8S6HK
DAH8HQC4CA;H6C3SJC10D3
D7S9CQD8CA;D2D3S2DKS10
D2HKH4CJD10;S2CQC8D6SQ
S7H4S9C5DQ;S10HJD6H2D7
C8CAD3HAH10;S3DQHKS6S9
D8C7H8H5C8;H9D7D10S5C4
D3D2H7C5C4;C2DQD7S2HQ
D10SQC5C3DQ;CKD3D8S3HK
H6S10DKC10S7;H10H3S8H2D9
C10C4H3SJCK;DQCQH2HQCA
HQCKD10C6C4;C3DJHAC5H10
D4SQDQC6S10;HKH8S4HJH9
HKD9DAH4DK;C4H2SJHAD4
C6CQC7DQH4;C2DJS3C10C9
C9S6D2H4S2;S10S4D4HKH2
H2S7D5H6HA;H4HKC3H5S4
C8C10HKHJH3;D10S5S10DAD8
D2S10SQH2D4;S6CJD6S7HQ
D7CJS10H5HQ;C9C2C3S4H4
CJH4D8S6HK;D9S10C6H8DA
CKC8CJD4SK;DQS5C2C9D7
D2D4H3D3C5;H5DQH7S4CQ
DKC5HAH4HQ;H6D10CJD9C3
H3H2S7S9DJ;D10D9DQD5D7
D7SQS3CQH5;D8H3DJHQCA
D10HAS6DQS9;SQH4C8S7DK
HJH9DKC5HA;S5C7H5H3HK
C2SJH4C10HQ;H8S6S2D5S4
C2S7S9C5CK;CADAC6D2S10
C7HJH9C8S4;HQDJHAS3D9
HJDKD2H3S10;HQH10DAH2S3
DJH3S3SJDK;H9S2C4HAS9
C6C5HKH8H2;SJDAD3S5D8
C10DAS9C7SQ;C2D9C5H5H8
D4HAD5S9CJ;H9S4H10D6H3
HQH8S7CQDQ;DJC8H6DKH3
D7DQCJD10H6;C8SQSJH7S8
CKS9SJD7H2;H6S6S10C6CA
S5S2CKS10C7;HAD6C8C2D4
C9DKDAH10S7;C10D10D4C7H5
S7D9SJS6C5;H5CQH8H2C6
H2DQH8D9C3;C7H7H6DJSK
D2S4DADQS6;H8D4S8D6H7
H4D10DJH10S2;D9S4C2SQS3
C9S9S2H4H9;SQS6C2H5C10
C9S8D9DKC2;H2H5C8HADA
C10DQS3CKHJ;H8S10H3DKS2
D4C6DKC10D8;CJS6CAS10HJ
HAD6H9D2DK;D3D10DQD9D8
D8SKD9D5H2;C5D10HKD6DJ
C5S5DQHJC10;D10H5HQC7H4
D3S3H8H7S5;C5CAC6CQD9
CJD9D7C5DK;H9H2S6H7D10
C10H9HJD7CK;CQHQH7S8D8
HQC4S3C3HK;HAS9S6D9S5
C6H10D6CAS9;H4S3CKC7H7
C9CKS8H5H10;DAC7S3S7S9
CQS5H8D4HK;DKHAD3D5SQ
H3S6S8DQC2;CAD9S3D6C6
HAD6C2HKC3;CKHQH3S9CJ
H2C9SJC4CA;S7S5D6S2S3
H5H3CJH2D5;CADQC4C2C10
S2D10HQC10CK;S4D5D9C4S3
HKDAH10HQC8;CQC9SQDJSJ
S10D2H7HQD4;CAC4HJHAH2
HKH3H10D7D5;S2C2D9HJH4
DQSJC6H10S7;CAH4S4C4D9
DKSJD7DAD10;H7H3HAD6S8
H6C10S4C6C5;D3C2D10HKD4
C8D10H6HQDQ;C2DAHKD4DJ
H9H6HJDJD10;H3CQCKS4C7
CKS7H7S9DA;DJD5H9H4D6
H7C2S9DAD10;H6HASJSKC5
C9DQH8S8S3;HJSKC10H7D10
DQSQD6S10SJ;D3CADAD4H6
HAC7D8C2SJ;C4C5S9C6H6
D6H5HQCAS6;DASJH4H10D8
CQC7DKS8S5;S2C5CKH4HK
C9S8C3S9S10;DJC10HJCJD10
SQS10CJC2D6;H8C6DJCQD5
S9S2C10D5C3;H8D9C8H5HK
H10H2S4SQD5;C10HAC8S8CQ
S3S8H6S6C10;CJS9D3C9S4
S3DKC3SQDJ;D4H5H3D2D6
S6CADAD4CJ;D8HQSKD10D2
D10H7S10C4DQ;S7DJH10CAH5
D4C7HKC9D8;DJHJD2D9S2
D2CKH2D4S6;CJH7C2S5S7
H2S8CADAD6;S9CJH4D10HQ
H7CKDQH9C5;C10C7S2SJC4
DJS10CJS3DQ;H7S7CQC10D8
DACKC2HAH8;H6SQC10S2C4
CAC6H10HQDK;C7D9H9D4S8
D9HAC8D5S10;HJS6CKS5C3
D8D7SQHKS4;D6H7C10S8HQ
S8S6HJH2D9;H7HAC8CJD4
S9D2D10CJS5;D3H5S3C9D9
C3C2S4D7HJ;DJS8C6SQS7
CQH2D10C8HJ;H10D7CKCAH8
S3H5CKS5H6;C2D9D3S7S4
CKCQD3HJD4;H5H6SQD2C10
S9S5HKH3S4;H7CKH6HJC2
D3D4C9H3DA;DQH4D9S5S8
D5CAD3HAH8;HQC6D4H5CK
D2S3CQSQS5;D6S2H7S9H6
C10D5DQS10SQ;S6HQCJH7D7
SKH3S10DQH6;HACAH2CKHK
DQC4S6C9D2;C5H10D10C2S3
HKC7D3D8D6;S2S8S3S10C9
C2HAC3H5HJ;C7H7DKCQC9
CJC2S4H9CA;S10H2DQD8DJ
H8D2D3HAC9;C10C3S4CAD10
SKC4H4C7HQ;DAD5S7CJSQ
H2C3C2D5D4;D7DAC6H7S4
C10D4H4C7D2;DKDAS2H5SQ
DKSQH3S10CQ;D6H4DAC4H7
H6H4SKC3CA;HQC2DKDJS9
C2CKH4D10S10;H3H2S8DJHA
S4C5D4HJH5;S10H2C3DJD5
D9C2SQD7S2;D10C8HQH4C7
SJH10S5S7H9;D6DAC7S9D8
S2CJC3H5S9;SJH3S3DQC8
DJS5C8S8C2;D2S2C6S10SK
H5DJD6H9D3;H4C10CQHAH3
H4C3C5D5SJ;DAS7CAHAH6
S6H7H4C2HK;D7H9C5C3H3
C6SJC10H9DQ;H6CJCAC3D4
C4H10S6DKS7;H9SJC7S4D6
D5C3SJS5DA;H3C10D2D10HA
H3H6D10HKC4;D9D3C9HAC7
D3C4S8C10S9;H8HQH9DQS6
SQS6H7C8D7;D3H8C9HJDA
D3S6H2H8H10;DKC7S4C6HQ
S8S3D4CAHA;S4H5H6S6C9
C10CQD10S7D2;C3S6H9CKD3
D5DACAHAS4;C3C6CJH9C2
D4C7S3D2DJ;HQH9S4H3SJ
D7H6S7H4C5;C10S6DKH7H2
C5C2H7HKD4;H5S3S4C8DJ
S2H6SKS3H5;C5HAC6D8DQ
D7HKC6H3C2;DQCKHJDJS8
DAS2C6D7HJ;H9D5H5H2SJ
C5S9HQCJD5;SKH6D4C10S7
C9S8C3CQS7;CKH3S4S3DK
CJH9SKHKD7;C4SQD3C2S9
C8CAC9SQC10;SJH5DAC7H7
S9D10DKCJSQ;H8D8CQS2C6
D7H5D9D6H10;H6C3C10C9S10
D8D9S5D7CK;H3S7S6DJC9
H5H7CJDAD10;S6S8S5DJH3
S2S8H6C3C6;SJD6HQC5D2
CASQDAC10S6;D8S7S8D2H3
C9S8D6S3DJ;S5C3C4D2HA
H5D8D7S8SJ;C2H9DAD2SQ
C10D5D10SJC7;H5S3S2HADK
D7C4C6DQD3;CQSQH4S9H5
S4C2HKH10S6;D6CJD9C4HA
D6HKH6D8C4;H7H4H3C6CJ
D3SJD4HKSQ;H10S4D6DQD2
HKDKS3H5C5;H9S8S7S2S4
SQS7H8C3S8;S10CJDACAD5
D7S10D4H6C9;D3S4CKCASK
DQD2D5HJCJ;C5D9H6S4S9
H8D2CJC2H2;DAC4S2CKS10
S10DKH9S6CA;D5H5S3S8D9
HKC3DJC7H9;H5C9HJD10D8
HKSKHAC6D3;H10C9H6CJC5
C2S3C8DKDA;SQH7S9C7S2
SQHKD3H5D5;S3HAD10H6DQ
D6SQCKH10C8;H4SJHKC2D4
SKC7D8C4C5;S10C6H6D10S2
HQC10C6D8S10;S5H6CQH10DJ
SKDAS10HQC6;C8D6S8H2S3
H9H8C2D5CK;H5H6D8DJD3
D10H7C5D7C6;S6HJHAD3DA
DJD9CKC6DK;HJH4H5C2CJ
SQS6D8C5D9;C3H3DJD6CA
H4H3D3C5C3;H2DKDJC6D8
S5C5S8HKD9;H4C6D7C3D5
H6C7D6D7D10;S9C2D2SQDQ
D10D5D3SQDK;S5H9S9SJCQ
C4C6C10HKC9;C7C2DQH10SQ
H8C6H9S5CQ;H5S6DAS7S2
H7CQC10S6CA;D5S9S3C5DA
S10SJD9H6DA;HAC10S5S4H2
C3CQSQH7H6;S10HQC9D3D9
HJHKS8CQH4;C4SJDJS4C5
DAH7DKD10H10;D8HKH8C6S10
C7S9HQHKC10;HAD4D10SJDK
HQH5CKSKH2;D10C5D4H8H10
S10HJD9S7C7;D4S4H5D5H7
C10C2HQD6C9;D4HJS5H8S3
D4C2S9CADQ;D5CJH2DASQ
S6S2D10H8HA;CQSKC3C4D6
C9S4C7H8CA;H10DKS6DJC10
D9S4HKH2D4;H4DAH10S3SJ
H6C5C2SKC6;D9DJC9D3H4
H10HJD2S8SQ;D7H5C5S3CA
H4S10H7C7S6;C2HJS7DQC6
D4S6SQS4H2;C6C2S3H9DA
S10D8C10H9CA;S7DAC4SQD10
SQH3H4HAH9;D2CAC9C7DA
S5H10D2S10C8;D7H9S8H3S3
H2HQCKC5H6;C6H9D9D6HJ
HADQC4CJH10;H4S6C6S2H2
SKD10D8CJDK;DQHKH2C2H8
H5S10H8H7D4;D3H3C10DAD10
H6S10SKC9S9;S5CQHASQD6
CKC5SKC9HA;S5C8DKC4H8
DQS9C9C8S2;S10D3DJSJDA
CJC4D7H6D3;SKHJH8S8D6
H4CQH3S5C3;H2D10DJDKC10
C10CQDAHKD8;S5D7C7CJS6
S7CQS3D2D10;S5S9HAD5SQ
S2C6D6C2HA;H8SQD8C10HK
S7D3C4H10S5;HJD5S3H2D4
S7H8H2CJC7;SQH5C4CQS9
H6S8CJH3C2;HKS10S7S5S4
D4CJCQS6H6;H5H10S5HACA
H5DQD5H7C9;HKS5D6SJHQ
H3H8C5C7HA;D10CJDACKHJ
D9H7H2S4S7;D4C8CJD7C5
D7S6H3D10C8;H6DKD9D2D6
C6H4C4D10D2;H2C7D8D7S8
C9SKC7C8H5;C4S2H7H10S4
SQSJC3HKDQ;H6S2S7H4D8
D7H10D9DKH3;HKC5D8CKCQ
C3H4S10SJD10;HKD4S4CKS7
H6CQCAS2H3;SJD10C3H8H9
S5S8H7S4HJ;H9HQS7D5D7
C9D7C3D8S6;H9DJD3S9H6
D4H6DJH3H10;C2DQDKS9D9
SJC10D9C7HA;D3CKS10H8H5
S7S3HKHAH10;S9D4D5C5H5
D4SQC5H5H4;C4S5H10CACQ
S2H10SJHJH2;HKH9DQD2D5
S5C3C4C8D9;H9CAS2HJDQ
S9DKC4D4S7;CAH7DAH4D7
S5SJC4H9S8;HJC2DAH2S2
CKC9SKS4H2;CQHAS6CAH10
C7H2C9HQS2;S9H6D10D6H9
D9DQS6D6S4;H6HAH8C10S5
DQCJH5D2SK;C10H9C5D8DK
DKDJC2S6CJ;DAC5S9D4H3
H9S5S6D10C7;HJD2D9HKCQ
SKDKH9C9DQ;S9D6CQC4H5
C6D6S7D8D9;H3H7H4C4D7
S9CKH5HAC9;S2DKCAH4D6
SQHKH5H9SK;S3C3CJD8DK
D5D3C7C10C8;H10H6DJC9D2
C7S5C4DKH3;HJCQD2H10S4
H3SJH4D3C8;H6H9D7HQDA
CQH4D6H6S4;CKHADKD7DA
DKSJHQH7HJ;H3CJH4H6SK
H2H9C2S6D4;C3CKD10SJS9
DJD2C2D9S8;S7SQHJD5D7
S6H7H9HKH3;C10HAC2D2H10
C8H2SJS9H5;C9C3S5S4D9
C7D3DJH9C9;H2HAC5SQC10
D5S4H9CQH6;C5D2C8DAC2
SQC2D3H2S8;D6S3D4HAD9
D4H10D6S4C5;C7D5S9SQH9
S4DAH7H2D9;CKHAH10D5S5
C9H4D9SJC7;D2D10HAC3S9
H2C3D8C2SJ;H9C4H10S6D6
S10S7S4C9S5;SJH10D9C7S9
S7H3S8HAH10;D2DQDKCASQ
D4DJS5SKDQ;S10S2H9CQC6
SQS5D7SJD2;HJD5D3H3HA
H4S10D6S2HJ;C6C5CADKH6
CJHAD8C2C7;S2C10S6H6D4
SQCKH9HKC2;D10H7C7H4DQ
S10C2S4CJCK;HJC10C5H2C4
H9D10DKC5H5;D3DAH10S10S8
D8H5S6HKD9;D5SJH7DQCJ
HJS9D4D2D10;C7DJS7H9C9
SJH2S6S5C5;D5D10H10HACK
DJDQC9S6D5;D8H10C3H3C8
H2H10DKC4H3;D3H8HAD5DQ
S10C4CQDKS3;S8S4C9CKH2
DKHAS3SKDJ;S2S5HQDAC5
HQC8D6C10D4;H8S9H7D7S10
D8DJS9SJHQ;H6C4DAC3CK
HQS4D9CKDQ;HADASKHJHK
S7D3C5H3H4;C8C9D10D8HQ
C5H3D2HJD4;H5D7S6D3S4
C10S10H5CKHJ;C3H10C8H8DJ
C10HAD8H4H2;C6S10C2C3H10
C9S10C2S2S6;D2C5S7SJSQ
SQCACJD9S4;S5HKH5D2HA
HAD8H3S5S6;DKC9S7S4C10
H9S4DQH7DJ;C6CJC9D4CA
H3S9H9H7SQ;C10DQDKC8H2
S10DQH10S8S7;DJH5H7C8C3
H3C3S2C4SK;D8H8S9H6DK
D7CQD10S3HA;C2SQC7H4H2
S9C3DQS7SK;C10H4CKS8H9
H5SQS3C6SK;H7SJD6CQC5
D5SKS9CQDA;D7SQD9H10C9
S10DAS4H8D6;C4S2C7C8HA
C2DAD6D4SJ;H4C8C7CKH2
C4S4H5H2D7;C8DJCAH3DK
C6D4CJD5C9;D10S5S2D6HK
C9C5C6D4C8;SQDQH5C7D2
D3H9CAS9S8;SKDJC7S7D7
S7C8H7D6H4;D2HQS3CAH3
HQD2D6S4S7;S6S10HADKS9
S8CQHKSJD9;DAS2D5H3H10
HJS2S6C3S9;C9S4D4D5DJ
H6C3HKD3C9;HAH8D4S10D7
C5SJH2C3S6;HQHKH6D5DJ
DAC10H9H8S9;D2H5DKC2HK
D4HKS2SQC4;H2CQH9H4S3
D10DKCJC6SK;H3S8D6C10CQ
H5C2S9C3H8;CJS6DJS8D7
HJCQSQD3D7;S10HQH5CAS2
D5HKC3D6H4;C10D7S6S2H7
D9S2SJD10S9;C6H2D3DQH10
CJS5C4SQH8;DJD3D9C3D10
H7SQH3DQH8;S3D5H4C2S4
H8HQH7HKH2;C9D4D10SQC3
HJHQD2DJD9;S6D6SQC7DK
SQD2H9H8S9;C9S3HJCKD8
HAC5S10HKSQ;DKDQH3H8C6
D9H6DKH7CK;H2CQS9C7D2
S7SKS2HQC2;D4S10H3SJS4
C4S3HJH3H7;D4C7C3S9HK
H9H6D9HKC3;D3CQC4CAH8
SJC5H3H6C9;C4C6CKS10H2
C6S7DAS2S3;DJD10S10CJDQ
C2H7H3C4S10;C7D2C8H10D8
H10H8D8S5D5;CKHKS7H6SK
H9D10CJC10C7;DQSKD6S4H10
DQHJCJC6S9;S4DKD5CACK
S8SJCQSQHQ;S10C5D6C7S5
D8SKD4H10H3;S9S3H9S4D5
H6CAD2C9HK;H10D7S5S10HJ
H7H5SKC9HQ;C4DJC5S7H2
D6C8S5S2C3;H6H2D8HAS3
CQD7HAH3DA;C3S9C2C6HJ
S2S9HJCQS8;C7D10D9H2H8
H9C3C6C2S5;C4SJC8H7DK
S3S2DQSQD10;D9CAC9CJC3
D10D9DJC3D7;SQS4DKCKD3
C5S6C9D4H3;D7H9D10DKC6
H7S8H6S5D3;C5DKCAH9HJ
HKD5DQH8CK;H4CQS10D3C2
DKHQC6H3C2;D2S10SQH9S6
H10S7H7HKS3;C5S8D8C3HJ
SKCQH10C8H6;C5C3C10D3CK
S2HJD3DQDK;D6C4D2CKS9
C8H8D2C5S3;C2H5C7S2SQ
H6HACQC4C2;S9S2HJD7CK
SQC4D4HQHK;HAD5C8H6H2
C3C5S10D5S5;DKH2CKDADQ
D6S10SKS8D2;S2DQD9H4CQ
C6S7D10H4CK;D4H8S4HJS3
H2D5HAC4D7;H8HQCJC10H10
D10S10S9D3S7;S6H5S4C10D5
H8C8DACAS5;SJH9S2S3H10
S5C5C8C10CA;D8C4D6SKH9
H7S3DJDKHJ;S10H9CKC3H4
S4H2HQC3C5;C10DQH7H10D3
D10H9S6CJHK;S4S3H7D8C6
S7HQS8D7H7;DQH6D2D6H10
H2H6H7H9S2;C7D6DADJCJ
H6C5SQD8H7;CJHJHKS6C9
S7C3DKSQD7;S5D4S4CQH3
H5S7SKDAS9;S4CAHJDQC6
H6DADJD7S9;DKDQD6C3S2
H4HKDAC4SK;C3H2DQH9CJ
SKC8H5D3DJ;CADQS3D5S8
D2S9H7C6S5;H10C4D10H9D5
S5DKH5C4D5;C3CAD4D8HQ
CAC9CJS3D10;D6H10SJC2C6
HAC4C7C5S8;HKC9D7H2D10
HJHQH5H4H6;HACAC7D3D4
CKS8S6C4HQ;D10DJD7S9S4
S5D2D7D8C5;H3C8H4CKS8
C5S7S4S9SQ;DJD4HJHKCK
CKD3S10DQH8;D10H4DAC3SJ
C2C3D6H3CA;D3S2H8S9S8
C5S10SQHAH5;S4C6HJH10C10
D7SKD8C4C8;CQD5H3H5S10
D8D6DJH3CK;H9S8SQS10C6
DJC10S6CAC4;S9HKD8S4SK
D10C3DKH7C9;H4S4H3C6C5
S3H10SQS6S8;C5CADAD3H3
H9H6CKC8H7;CAD9C3DAD5
CKS3C8S9C9;H5D6H3C10D8
DQS5DJS6S2;C7DAD7S7H4
H5D6H9DAS3;H3S2D8HAS4
CQS8S7S2S9;HAH8H4SQH3
H9D4D10D8S7;H5CQD3H2D6
C6D4DJH2SK;D2HQC2HKH6
C6H3HKD10SJ;H7S10D9C9H5
C4D5DAS9SQ;D9C10C9SKH4
CJCAD3S7H3;H9SQD5SKS6
S6D5HAS9S8;S7S10C8CJC3
D4CKH4H7C3;S2D10S5C6D2
C7S8S10SKH10;D8C10CJHQD2
S6S2C5H10H4;SQC6H7SJS7
C8H7H3C6SQ;C10C4CKS5C3
D5C2H6C10C4;H5S8DQHJH4
D9H3H5D6D8;DJC5C7S7DA
CAH8C9HQSQ;C4S4H4C3H7
C6CKH2SQC10;D2S3H10DJS9
D8DKD2D9CK;H10S5S10DQH7
H9H5S2SKC3;S4D6H4C9C5
H5D8HJH10C2;S7HKS9S4C3
C3DJD9D7S9;SQH2D4HKHQ
C5S7CAC4DQ;H4H8H3H2SJ
H2S5C3H8DJ;S2CKHJH5C4
C6H4H9DJD10;D9SKSQDQS5
H3H5D8C7D4;S10D5S7HADJ
H7C3C6H10S6;S10H2C8D6D5
D5H5SJS3DA;SKC5S2H10S5
C4D4S2HKSJ;CQC2H2D5D7
H8S3DKC5DQ;C10D4S10H9H2
S4C5D10CKC6;HJD6H2DQH4
SJD4HKC5H10;CAH6SQS2SK
HKH10H5H4H9;C3S5C5S8D8
CQD2S4C9C4;CJS9C5S5SJ
S3C2H9S6H8;C8H6D9CKD4
D7D3S7C2D10;D9HACKC9D4
S4H5HADQH8;D2H10D3D8HQ
C4H5D4CAS4;H7H9C5H10D9
SJCKD7HADK;D10D8H2C2CQ
S8D6C2DKD7;DJS4D2C6SK
D10SJD8D3CJ;CAH3S2S10C3
D7D5C3S8DA;CJS7SQD10D6
C6HAD2C10HK;C4D10D9C9D3
C10S4H2D4C3;D9S7H7H8DJ
H8D3DAD2HA;S8D9S3C9H5
CJHQS8H8SQ;C3D3DAC4S5
D9DAHKC3HQ;C6HAH5H6DQ
C5D6C7C9H8;H9D9SJS6DQ
SKD4H3CAD9;C7C10H9H2HK
S6S2C2D9SK;H9H10S3D5S10
SQC9D8DAD6;S2C4S5S10CA
C7HADKH3D8;C5C2DAHKCQ
H7CAS3C6HQ;CJHADJDKDA
S6D10H10DJC10;H3H7S2C7C9
CJCKSJC2H8;D10D7H9DJS5
D4CJC6S5H8;S3D3CAC10S2
D5D6D9DKC7;D2H8H5C4CA
C8HKCQS3DJ;DAHJS2D6S6
C9DKS6S2H6;D10H4D8H10H7
C8C2D10DKS6;HQD4D2S2C4
C5C3H6D5H10;S3H9S4D6C7
S7DACJC4H3;CKH8D6CQC3
SQS7H6D4D5;C2S4S6D7H5
DAHAH7DKCJ;HQS5S4CQH2
SKH7D9H6D7;CQHQC7C3C10
C10DAH2HKSJ;DJCQS9D2H7
SJS8C2CAH10;HKD5D2S7S6
HJS8H5D5SK;C8C9S5D6C2
H8H10D10S9D7;D5S5H3H9D9
C5CQHQS4H5;CKC2DAC9C8
S5H3CADQH9;D2HQCQC2S2
CKSKH7H3S8;D5DQHQHJC9
HJS8S2H10D8;S3C4D5HKH3
HAC10DKH9SJ;S10H6H7DAHK
C5SQS2H5DJ;S10S8S5S4HQ
S9D9D5S2CJ;SJHJS3DAC4
C5D8CQC2C3;S9SJC9S10HJ
DJS5D7H3C4;HQCKHJH7D9
C6C10D4HQC4;H5H10H3S9H6
H2S5D2H10H5;D7C5C10S6D4
C5DJS5S8DA;C9S9SJC6S2
C2D5D6CQCK;C3C8CJDQD8
D4HKD8D2CQ;S2H10HJHQS10
D8D3S9D6SK;D10HKCQC9H7
C9CJH6S9H4;D7CASKD9H9
C9C8DQD2HQ;CQD8S8HJH6
H9C10C8SKS10;D3H10H6S3D9
C5D9H3C6S10;S5S9S7H7DK
S3SJC3H5D7;C7HAD8S8SK
D5HKH9DAS4;C9C10D6D8D4
H6C6S2C10HQ;H8S6H2H9D4
C2DJD5C10S7;D6S6D2DAC5
C4C10D3CJCQ;H10C6S2SJC9
S5C10H4CAHK;DQSJHQS4C6
S4C6D8SKH7;S7HJC9S2DJ
D2C7CAC2HK;D4D9DQS3HQ
HQC3D4HKD3;C9SKS4DQC2
HAC5DKH5S6;C9S2CQSQC2
DKS3CAS2SQ;H6S9CQDQD7
H5CQCKH3HK;DKD8S8S9C9
S7S8C5H5C3;CQH6C8DAD2
DAH4SKS5H5;S10DJC3D9HJ
D6D7HAS7D8;S5C3C7C10H2
H9H6D2C10H2;D8C7SKS3H4
HJDJSKC8H9;D9S7SJC2HK
D8DKD2HJDQ;CJD3S9HKC2
D3S6H6C4H8;D5DKH9D6S2
C4H9S2D5S3;D6H6H10DJH2
S8D5H5D8D7;SKDJSQHQHK
C7H10C9D8H2;D5D2CAHJCK
H8CQHKDKD2;H2C8H6D5HA
C7C6S3D5H7;H3S6C8D9D8
H2D3D9H7CA;DAHAS7S5DQ
H10C6SJD7H7;D2S5H2CQC4
D2C4D3HQDJ;HJS3S4CQS5
H6H10D7C3H7;C6C10HAH9D5
H5CAHJD4D7;C10D6D5H8S3
D3C2C5CJSK;C4S2D5S3D6
C7HKS5H3CK;DJS7D6SQH6
S3D4S9S4CJ;C10CAC8C3D5
C9C6DKD5CJ;H4S6D3S7C5
DAS2DQH5SQ;C7D2S7D4D7
CKS2HJCQHQ;S3HKH3S5SJ
D7H10H4C7S3;H7S7C10CKC5
D9H10C5D5S5;H8S10DJCQD4
CKH3D5D8S4;DAS5HADKD10
DKSQSKS4C10;S5C9CQS10DJ
S8C7C2SJC10;S4CKH10HQH7
C2H6C9DAH9;S7D8CADKHJ
DASQH9DJD5;D6C2H7S5D3
DJC5H4H3C2;D7CACKSQDA
SQH2CQSJHA;S9D7D3D6S8
H6H3C4H8S3;H10H5HKD2C3
D4C8H2D7HA;S3C7S8D2S6
D7CAH5DKD3;C8DQS5D4C3
SQCQC2HKC3;DQS8H7H3C7
CAS9C4SQS5;CKH3D3DAH9
CJS10D5HKHJ;S5C2DQS8H5
HQH6H4C3C6;D10C9SQH9D3
D7D4H4D2S7;H2CKD10H10S10
DQD2S8C9D8;D7D5C10H6DJ
CQH7H3SKH8;C4DKD3CAH2
S6C5HKH10CJ;C7C3DAS9C9
D9SQC8SKHA;D10C4D7C3C2
S7C8C3S4SQ;H6DJD5D9DK
D10DJC3S4CK;H10HKCJHJCQ
HKH2DJD8H9;H6H5S9C4S2
C7C9H2HJC2;D3S3D9S2D7
C4S7S8D5C8;SJS4H5H7SK
C2CAHKC3C7;H2DAHQHAC10
D9H10SKD8DA;CAH8S2C8S7
D7H4DJH6S7;SQD6C8S6D3
HKD2S6D6D3;C2H8H6H7S4
C7H3S3C4HA;SQS4D4DQH7
D6S10S6C3C2;HAD7DAH4H3
C8C6HACKC4;SQDQDKC2D3
S3DKDQD10D2;DJS9H5C7H3
S5H4C7CAHA;S4D4SKD6H7
C6CKH2S7C4;CAH5C2H6S10
H3CADQS7HA;C5H6D8DASJ
D10S7D3S10S5;HQHKSQH4D7
